idx,category,date,path,title
1,hw,09/20,hw/03_models,Homework 03 - Models IRL
2,lec,09/16,lec/03_models,Lec 03 - Models and Random Variables
3,lab,09/20,lab/03_models,Lab 03 - Models & Monsters
4,lab,08/30,lab/00_welcome,Lab 00 - Getting to Know Jupyter and OK
5,lec,08/28,lec/00_welcome,Lec 00 - Welcome
6,hw,09/09,hw/01_python,Homework 01 - Python Drills
7,lab,09/06,lab/01_python,Lab 01 - Visualize Munge Repeat
8,lec,09/04,lec/01_python,Lec 01 - Python and Pandas and Plots
9,lec,09/09,lec/02_bootstrap,Lec 02 - Probability and Statistics
10,hw,09/16,hw/02_bootstrap,Homework 02 - Descriptive Statistics and Bootstrapping
11,lab,09/13,lab/02_bootstrap,Lab 02 - Bootstrap Estimation for Personality Data
12,lec,09/23,lec/04_parameters,Lec 04 - Parameters and Priors and Posteriors
13,lab,09/27,lab/04_parameters,Lab 04 - Comparing Bootstrap and Model-Based Sampling
14,lec,09/30,lec/05_null,Lec 05 - Null Models
15,lab,10/04,lab/05_null,Lab 05 - Modeling Null Hypothesis Significance Testing
16,hw,10/14,hw/04_parameter_null,Homework 04 - Parameterized Models and t-Tests
17,lec,10/07,lec/06_bayes,Lec 06 - Bayesian Inference
18,lab,10/11,lab/06_bayes,Lab 06 - Bayesian Inference for Differences of Means
19,lec,10/21,lec/07_category_fx,Lec 07 - Categorical Effects Models
20,lab,10/25,lab/07_category_fx,Lab 07 - Modeling Categorical Effects
21,lec,10/30,lec/midterm_review,Review of Modeling Concepts
22,proj,11/18,proj/proposal,Project Proposal
23,lec,11/06,lec/08_multiway,Lec 08 - Multiway Modeling
24,lab,11/18,lab/08_multiway,Lab 08 - Multiway Modeling
