,E/I,N/S,F/T,J/P
7849,I,N,F,J
5056,I,N,F,J
4228,I,N,F,J
3723,I,N,F,P
3403,I,N,F,P
4053,E,N,T,P
2635,I,N,F,P
3746,E,N,T,P
1165,I,N,F,P
3678,I,N,F,P
3387,I,N,F,J
8571,I,N,T,P
6591,I,N,F,J
6912,E,N,F,P
3370,I,N,T,J
4201,I,N,T,P
3994,I,N,T,P
1321,I,N,F,J
6499,I,S,T,P
7511,I,N,T,J
5514,E,N,T,P
1805,I,N,F,P
7753,E,N,F,P
3300,I,N,T,J
6385,I,S,T,P
3371,I,N,T,J
4550,I,S,F,P
5719,I,S,F,P
453,I,N,T,P
1266,E,N,F,P
1876,E,N,T,P
635,I,S,T,P
7168,E,N,F,J
6083,I,N,F,P
2836,E,N,F,P
445,E,N,F,P
7484,I,N,T,J
7310,E,S,F,J
1821,E,N,T,P
2856,I,N,T,J
3529,E,S,F,J
8411,I,N,T,J
6961,I,N,F,J
6812,I,N,F,P
4392,I,N,F,J
2586,I,N,T,J
8649,I,N,F,P
4262,I,N,F,P
6951,E,N,T,J
8545,I,N,T,P
4554,I,N,F,J
3962,E,S,T,J
1445,I,N,F,J
6769,I,N,F,J
3851,I,N,T,P
3603,I,S,F,J
2480,E,N,F,P
56,I,N,F,P
617,E,S,F,P
8477,I,N,F,J
2914,I,N,T,P
2759,I,N,T,P
6231,E,N,F,P
5507,I,N,F,P
7633,I,S,T,P
6453,I,N,T,J
1682,I,S,F,P
6390,I,S,F,P
4378,E,S,F,J
4946,I,N,F,P
6065,I,N,F,P
1777,I,N,F,J
6358,I,N,F,J
6856,I,N,T,J
793,E,N,F,P
5316,I,S,F,P
2534,E,N,T,J
1483,I,N,T,P
448,I,N,F,J
1268,I,S,F,J
797,I,N,T,J
2066,I,N,F,P
4715,I,N,F,J
8341,E,N,F,P
93,E,N,F,J
2201,I,N,F,P
4330,I,S,F,P
5424,I,S,T,J
1948,E,N,F,P
5255,I,N,F,P
1100,I,N,F,P
8022,I,N,T,J
2164,I,N,F,P
2737,I,S,F,J
794,I,N,F,P
3573,E,S,T,P
199,I,N,T,P
5961,E,N,F,P
772,I,N,F,P
6060,I,N,T,J
1870,I,N,F,J
739,E,N,T,P
57,E,N,F,J
3796,I,N,T,P
554,E,N,T,P
1794,I,N,T,J
4496,I,N,T,P
8448,I,N,T,P
8420,I,N,F,P
460,I,N,T,J
8043,I,S,F,J
6364,E,S,F,J
7827,I,N,T,J
2509,I,N,F,J
5196,E,N,T,P
5365,I,N,F,J
3665,E,N,T,P
1547,I,N,T,P
7245,E,N,F,P
8147,I,S,F,J
5684,I,N,F,P
8148,I,N,F,J
3233,E,N,T,P
50,I,N,T,P
5996,I,N,T,P
2138,I,N,F,P
1731,I,N,T,J
4492,E,N,T,P
7138,I,N,F,P
2756,I,N,F,J
6438,I,N,F,P
2445,I,N,F,P
2177,I,N,F,J
1992,I,N,F,J
700,E,N,T,P
5462,I,S,T,P
7199,I,N,F,J
365,I,S,T,J
750,I,N,T,P
823,I,S,T,P
3941,I,N,F,J
1225,I,N,T,J
790,I,N,T,J
8599,E,N,T,P
6589,I,N,F,J
5079,I,N,T,P
796,I,N,F,P
8048,I,N,F,J
6878,I,N,T,P
5006,I,N,T,P
5089,I,N,F,J
5934,I,N,T,J
561,I,N,T,P
6641,I,N,F,J
1517,I,N,T,P
3591,I,N,T,P
4350,I,N,F,J
2209,I,N,T,P
1391,I,N,F,P
7884,E,N,T,J
4712,E,N,F,P
832,I,S,T,P
6661,I,N,F,P
4695,I,N,T,P
3465,I,N,T,J
5459,I,N,F,P
6076,I,S,F,J
128,I,N,F,J
4031,I,N,F,J
638,I,S,T,P
560,I,N,T,J
5784,I,N,F,J
5642,I,S,F,P
225,I,N,T,P
2630,E,N,T,P
8490,I,N,T,P
6594,I,N,F,J
1471,I,S,T,P
3975,I,N,F,J
2952,I,N,F,J
5768,I,N,T,J
2349,I,N,T,J
7233,I,N,F,P
4354,I,N,F,P
4458,I,N,F,P
6571,I,N,T,J
8248,I,N,F,P
135,I,N,F,J
3568,I,N,T,P
3128,E,N,T,J
1507,I,S,F,J
3788,I,N,T,P
3343,I,N,F,P
7979,I,N,T,P
1378,I,N,F,J
7197,I,N,F,J
2220,I,N,F,J
7355,I,N,T,P
3235,E,N,T,P
6550,I,S,T,P
8352,I,N,T,P
6724,I,N,T,P
706,I,N,T,P
6427,I,N,F,P
436,I,N,F,P
6721,E,N,F,J
5974,I,N,T,P
5261,I,N,T,P
7192,I,N,T,P
3273,I,N,T,P
1759,I,S,F,P
3628,E,N,T,P
2798,I,N,F,J
1826,I,N,F,J
873,I,N,F,P
7364,E,N,F,P
8262,I,N,T,P
5179,E,N,T,J
999,I,S,T,J
1049,I,S,T,J
2943,E,N,T,P
5249,I,N,T,J
4584,I,N,T,J
1873,I,N,T,J
7644,I,S,T,P
3200,I,S,T,P
4837,I,N,T,P
3541,I,N,F,J
2913,I,N,F,P
2649,I,N,T,J
7113,I,N,T,P
4456,E,N,F,P
6698,I,N,F,J
3845,I,N,F,J
5283,I,N,F,J
6785,I,N,F,J
1942,I,N,F,P
7980,I,S,F,J
6338,I,N,F,J
929,I,N,F,J
4872,E,N,F,P
3144,I,N,F,J
6942,E,N,T,P
2637,I,N,T,P
7152,I,N,T,J
7537,I,S,F,P
4638,E,S,T,P
946,I,N,F,P
1991,E,N,T,P
5515,I,N,F,P
