,Date,Statistician,Data Scientist
0,2004-01-01,19,0
1,2004-02-01,24,3
2,2004-03-01,27,4
3,2004-04-01,22,3
4,2004-05-01,28,2
5,2004-06-01,21,0
6,2004-07-01,21,0
7,2004-08-01,23,5
8,2004-09-01,23,7
9,2004-10-01,27,5
10,2004-11-01,26,2
11,2004-12-01,19,2
12,2005-01-01,20,0
13,2005-02-01,18,6
14,2005-03-01,23,2
15,2005-04-01,24,4
16,2005-05-01,25,2
17,2005-06-01,26,2
18,2005-07-01,27,0
19,2005-08-01,22,3
20,2005-09-01,19,2
21,2005-10-01,20,1
22,2005-11-01,23,3
23,2005-12-01,12,1
24,2006-01-01,15,2
25,2006-02-01,16,1
26,2006-03-01,22,0
27,2006-04-01,19,2
28,2006-05-01,21,2
29,2006-06-01,18,0
30,2006-07-01,14,2
31,2006-08-01,17,2
32,2006-09-01,17,1
33,2006-10-01,16,2
34,2006-11-01,18,2
35,2006-12-01,12,1
36,2007-01-01,17,2
37,2007-02-01,15,1
38,2007-03-01,17,2
39,2007-04-01,16,1
40,2007-05-01,19,1
41,2007-06-01,19,1
42,2007-07-01,19,1
43,2007-08-01,19,1
44,2007-09-01,17,2
45,2007-10-01,20,1
46,2007-11-01,20,1
47,2007-12-01,11,1
48,2008-01-01,16,1
49,2008-02-01,17,1
50,2008-03-01,18,1
51,2008-04-01,19,2
52,2008-05-01,17,1
53,2008-06-01,18,2
54,2008-07-01,16,1
55,2008-08-01,14,1
56,2008-09-01,17,3
57,2008-10-01,18,2
58,2008-11-01,20,2
59,2008-12-01,14,2
60,2009-01-01,21,1
61,2009-02-01,19,2
62,2009-03-01,16,1
63,2009-04-01,19,1
64,2009-05-01,18,1
65,2009-06-01,18,2
66,2009-07-01,18,1
67,2009-08-01,16,3
68,2009-09-01,19,6
69,2009-10-01,20,3
70,2009-11-01,18,2
71,2009-12-01,15,3
72,2010-01-01,17,3
73,2010-02-01,18,3
74,2010-03-01,18,2
75,2010-04-01,17,2
76,2010-05-01,18,1
77,2010-06-01,13,2
78,2010-07-01,15,2
79,2010-08-01,15,2
80,2010-09-01,17,6
81,2010-10-01,19,3
82,2010-11-01,16,2
83,2010-12-01,14,2
84,2011-01-01,19,4
85,2011-02-01,20,3
86,2011-03-01,19,3
87,2011-04-01,18,2
88,2011-05-01,17,4
89,2011-06-01,14,3
90,2011-07-01,14,2
91,2011-08-01,17,5
92,2011-09-01,19,10
93,2011-10-01,17,8
94,2011-11-01,16,4
95,2011-12-01,13,6
96,2012-01-01,18,8
97,2012-02-01,21,6
98,2012-03-01,17,7
99,2012-04-01,16,7
100,2012-05-01,18,8
101,2012-06-01,14,7
102,2012-07-01,14,7
103,2012-08-01,13,11
104,2012-09-01,18,17
105,2012-10-01,17,12
106,2012-11-01,23,12
107,2012-12-01,14,10
108,2013-01-01,17,13
109,2013-02-01,18,13
110,2013-03-01,18,15
111,2013-04-01,17,25
112,2013-05-01,18,19
113,2013-06-01,16,15
114,2013-07-01,15,16
115,2013-08-01,14,18
116,2013-09-01,18,24
117,2013-10-01,18,18
118,2013-11-01,17,17
119,2013-12-01,15,14
120,2014-01-01,16,20
121,2014-02-01,18,23
122,2014-03-01,18,22
123,2014-04-01,19,22
124,2014-05-01,18,23
125,2014-06-01,14,24
126,2014-07-01,16,23
127,2014-08-01,15,35
128,2014-09-01,20,38
129,2014-10-01,19,33
130,2014-11-01,17,29
131,2014-12-01,15,26
132,2015-01-01,19,34
133,2015-02-01,18,32
134,2015-03-01,18,37
135,2015-04-01,22,40
136,2015-05-01,18,36
137,2015-06-01,16,39
138,2015-07-01,16,37
139,2015-08-01,18,45
140,2015-09-01,24,49
141,2015-10-01,24,58
142,2015-11-01,18,40
143,2015-12-01,16,36
144,2016-01-01,18,60
145,2016-02-01,21,48
146,2016-03-01,21,50
147,2016-04-01,18,46
148,2016-05-01,18,47
149,2016-06-01,15,44
150,2016-07-01,16,35
151,2016-08-01,15,46
152,2016-09-01,20,53
153,2016-10-01,20,50
154,2016-11-01,19,45
155,2016-12-01,17,45
156,2017-01-01,17,62
157,2017-02-01,20,68
158,2017-03-01,19,62
159,2017-04-01,20,60
160,2017-05-01,19,63
161,2017-06-01,16,60
162,2017-07-01,14,64
163,2017-08-01,15,70
164,2017-09-01,20,76
165,2017-10-01,19,74
166,2017-11-01,16,67
167,2017-12-01,13,57
168,2018-01-01,17,73
169,2018-02-01,17,73
170,2018-03-01,19,75
171,2018-04-01,16,76
172,2018-05-01,16,80
173,2018-06-01,14,79
174,2018-07-01,15,75
175,2018-08-01,15,88
176,2018-09-01,18,91
177,2018-10-01,20,86
178,2018-11-01,15,75
179,2018-12-01,14,66
180,2019-01-01,18,88
181,2019-02-01,20,89
182,2019-03-01,18,83
183,2019-04-01,18,91
184,2019-05-01,19,91
185,2019-06-01,14,80
186,2019-07-01,14,83
187,2019-08-01,14,100
